sku;nombre;descripcion;seller;cat_fcom;nombre_cat_fcom;estado_publicacion;precio1;precio2;precio3;precio4;tipo_precio1;tipo_precio2;fcom_url;fecha_publicacion;origen;jl1;jl1_nombre;jl2;jl2_nombre;jl3;jl3_nombre;mkp_nombre
6552957;MK Toldo Plegable 3x3 Metro Metal Y Lona Facil Arm;Toldo Plegable 3X3 Metro Metal y Lona;Fernapet;cat1180024;Terrazas;Publicado;;;   45990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6552957_1?$producto308$;07/08/2018 00:48;Market Place;J13;MUEBLES;J1307;TERRAZA;J130701;METAL;MK Toldo Plegable 3x3 Metro Metal Y Lona Facil Arm
6552956;MK Toldo Plegable 3x3 Metro Metal Y Lona Facil Arm;Toldo Plegable 3X3 Metro Metal y Lona;Fernapet;cat1180024;Terrazas;Publicado;;;   45990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6552956_1?$producto308$;07/08/2018 00:48;Market Place;J13;MUEBLES;J1307;TERRAZA;J130701;METAL;MK Toldo Plegable 3x3 Metro Metal Y Lona Facil Arm
6552955;MK Toldo Plegable 3x3 Metro Metal Y Lona Facil Arm;Toldo Plegable 3X3 Metro Metal y Lona;Fernapet;cat1180024;Terrazas;Publicado;;;   45990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6552955_1?$producto308$;07/08/2018 00:48;Market Place;J13;MUEBLES;J1307;TERRAZA;J130701;METAL;MK Toldo Plegable 3x3 Metro Metal Y Lona Facil Arm
6552953;MK Toldo Plegable 3x3 Metro Metal Y Lona Facil Arm;Toldo Plegable 3X3 Metro Metal y Lona;Fernapet;cat1180024;Terrazas;Publicado;;;   64990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6552953_1?$producto308$;07/08/2018 00:48;Market Place;J13;MUEBLES;J1307;TERRAZA;J130701;METAL;MK Toldo Plegable 3x3 Metro Metal Y Lona Facil Arm
6552951;MK Toldo Plegable 3x3 Metro Metal Y Lona Facil Arm;Toldo Plegable 3X3 Metro Metal y Lona;Fernapet;cat1180024;Terrazas;Publicado;;;   64990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6552951_1?$producto308$;07/08/2018 00:48;Market Place;J13;MUEBLES;J1307;TERRAZA;J130701;METAL;MK Toldo Plegable 3x3 Metro Metal Y Lona Facil Arm
6552950;MK Toldo Plegable 3x3 Metro Metal Y Lona Facil Arm;Toldo Plegable 3X3 Metro Metal y Lona;Fernapet;cat1180024;Terrazas;Publicado;;;   38990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6552950_1?$producto308$;07/08/2018 00:48;Market Place;J13;MUEBLES;J1307;TERRAZA;J130701;METAL;MK Toldo Plegable 3x3 Metro Metal Y Lona Facil Arm
6709124;MK Kit Camaras Wifi CCTV Seguridad 4 Canales 01466;MK Kit Camaras Wifi CCTV Seguridad 4 Canales 01466;Fernapet;;;Despublicado;;       157990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6709124_1?$producto308$;07/09/2018 01:49;Market Place;J11;ELECTRO HOGAR;J1114;ACCESORIOS;J111412;SMART HOME;MK Kit Camaras Wifi CCTV Seguridad 4 Canales 01466
6709123;MK Kit Cctv Con Pantalla 4 Camara Seguridad 01458;MK Kit Cctv Con Pantalla 4 Camara Seguridad 01458;Fernapet;;;Despublicado;;; 157990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6709123_1?$producto308$;07/09/2018 01:49;Market Place;J11;ELECTRO HOGAR;J1114;ACCESORIOS;J111412;SMART HOME;MK Kit Cctv Con Pantalla 4 Camara Seguridad 01458
6545120;MK Toldo Plegable 3x6 Metros Metal Y Lona Facil Ar;Toldo Plegable 3X6 Metros Metal y Lona Facil Armar;Fernapet;;;Despublicado;;;  124990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6545120_1?$producto308$;16/08/2018 09:44;Market Place;J13;MUEBLES;J1307;TERRAZA;J130701;METAL;MK Toldo Plegable 3x6 Metros Metal Y Lona Facil Ar
6545032;MK Toldo Plegable 3x6 Metros Metal Y Lona Facil Ar;Toldo Plegable 3X6 Metros Metal y Lona Facil Armar;Fernapet;;;Despublicado;;;  124990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6545032_1?$producto308$;16/08/2018 09:44;Market Place;J13;MUEBLES;J1307;TERRAZA;J130701;METAL;MK Toldo Plegable 3x6 Metros Metal Y Lona Facil Ar
